transaction_id,club,event_id,date,type,category,amount,approved_by,status,notes
8cdd28b8-8711-4046-a0f6-544ba76f9963,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,2024-09-10,Expense,Venue Booking,8079.58,Faculty Advisor,Approved,For Debate Night
b926d40f-a270-402c-b38d-53e2625cb982,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,2024-09-10,Expense,Merchandise,2607.24,Faculty Advisor,Approved,For Debate Night
bcea8a9f-1675-46df-a7c8-23d26458377b,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,2024-09-10,Expense,Printing,4371.18,Faculty Advisor,Approved,For Debate Night
280f17b0-dd2a-4fc4-8740-5383655856fc,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,2024-09-10,Expense,Prizes,10409.16,Faculty Advisor,Approved,For Debate Night
cb23ef5e-904b-41d0-8fb0-d6c295f26b0d,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,2024-09-10,Income,Registration Fee,7712.03,Treasurer,Confirmed,Income for Debate Night
2b3a851f-8c30-46e4-a942-f0ce490cc8d9,Literary Society,63087e30-4470-401e-b681-51d2dba64ab1,2023-10-28,Expense,Speaker Fees,12303.38,Faculty Advisor,Approved,For Author Talk
f83a9b7e-d20d-4151-99f5-bfdf2f3bd498,Literary Society,63087e30-4470-401e-b681-51d2dba64ab1,2023-10-28,Expense,Printing,11264.98,Faculty Advisor,Pending,For Author Talk
da39a5d1-c43e-4be2-8b49-5ed35031644f,Literary Society,63087e30-4470-401e-b681-51d2dba64ab1,2023-10-28,Income,Alumni Donation,23960.6,Treasurer,Confirmed,Income for Author Talk
06c70ba4-dfdc-4931-ad40-ffcb0d638df9,Literary Society,b1dae3cc-11f6-4409-aa18-c2cbd62bcf31,2023-03-23,Expense,Venue Booking,13934.03,Faculty Advisor,Pending,For Book Club Meet
4b41ca4f-3782-4d40-9a90-d2eee5ec8f94,Literary Society,b1dae3cc-11f6-4409-aa18-c2cbd62bcf31,2023-03-23,Expense,Merchandise,14372.18,Faculty Advisor,Approved,For Book Club Meet
89ccc732-4b9b-4b09-9927-1a4c2822580c,Literary Society,b1dae3cc-11f6-4409-aa18-c2cbd62bcf31,2023-03-23,Expense,Venue Booking,688.0,Faculty Advisor,Approved,For Book Club Meet
517583a2-a4d0-4cc3-a26f-2ba5b040c083,Literary Society,b1dae3cc-11f6-4409-aa18-c2cbd62bcf31,2023-03-23,Expense,Printing,9498.14,Faculty Advisor,Pending,For Book Club Meet
4557f62a-439e-4fe3-9733-589f20ecf72f,Literary Society,b1dae3cc-11f6-4409-aa18-c2cbd62bcf31,2023-03-23,Income,Registration Fee,23143.02,Treasurer,Confirmed,Income for Book Club Meet
a21d5cbf-2a67-44d3-92a1-28ddb6f8ba92,Literary Society,a4598cc8-c087-4c87-bda2-3423039fcad7,2023-12-30,Expense,Printing,4765.58,Faculty Advisor,Approved,For Book Club Meet
14a69cdd-418a-4392-87ab-5fd1f26e7ee8,Literary Society,a4598cc8-c087-4c87-bda2-3423039fcad7,2023-12-30,Expense,Catering,3211.16,Faculty Advisor,Approved,For Book Club Meet
3f433b55-ec2d-4c98-81f5-b2e81e8ae865,Literary Society,a4598cc8-c087-4c87-bda2-3423039fcad7,2023-12-30,Expense,Catering,5969.37,Faculty Advisor,Pending,For Book Club Meet
d27aed3c-e233-4a51-98c8-bd42fa7cd126,Literary Society,a4598cc8-c087-4c87-bda2-3423039fcad7,2023-12-30,Income,Alumni Donation,9398.71,Treasurer,Confirmed,Income for Book Club Meet
3a5f21fa-f20b-4aa8-9bd3-5e2fbe0c3ca6,Literary Society,a4598cc8-c087-4c87-bda2-3423039fcad7,2023-12-30,Income,Sponsorship,18351.61,Treasurer,Confirmed,Income for Book Club Meet
851e4b4f-3d81-4645-b78a-87ccf6cc0bc4,Literary Society,f0bf717b-c86d-4fdd-be22-d377f9889f69,2024-04-18,Expense,Venue Booking,5293.16,Faculty Advisor,Approved,For Creative Writing Workshop
49f1b39a-e451-421c-b199-087d430afa3c,Literary Society,f0bf717b-c86d-4fdd-be22-d377f9889f69,2024-04-18,Expense,Venue Booking,2728.7,Faculty Advisor,Approved,For Creative Writing Workshop
c0b9e15c-7b1b-4b88-9181-5971b88a1ad0,Literary Society,f0bf717b-c86d-4fdd-be22-d377f9889f69,2024-04-18,Expense,Venue Booking,11718.08,Faculty Advisor,Approved,For Creative Writing Workshop
245529c8-3cf3-412a-acae-61f8f3df1aab,Literary Society,f0bf717b-c86d-4fdd-be22-d377f9889f69,2024-04-18,Expense,Miscellaneous,11953.67,Faculty Advisor,Approved,For Creative Writing Workshop
be7a0196-1169-4a8c-a129-306acf8c4093,Literary Society,f0bf717b-c86d-4fdd-be22-d377f9889f69,2024-04-18,Income,Registration Fee,16711.06,Treasurer,Confirmed,Income for Creative Writing Workshop
3e8aac7b-b334-432f-b62e-8b65e69dc5d7,Literary Society,c1d08be7-ac85-4d44-85ec-eb193f3634e3,2023-11-20,Expense,Catering,11900.74,Faculty Advisor,Approved,For Creative Writing Workshop
110cd927-6b6c-4740-8b28-8efdf70fd6b0,Literary Society,c1d08be7-ac85-4d44-85ec-eb193f3634e3,2023-11-20,Expense,Merchandise,8374.66,Faculty Advisor,Pending,For Creative Writing Workshop
